,UniProt1_x,UniProt2_x,symbol1,symbol2
0,O14763,P21580,TNFRSF10B,TNFAIP3
1,O14763,Q13546,TNFRSF10B,RIPK1
2,O14763,Q13546,TNFRSF10B,RIPK1
3,O14896,Q13568,IRF6,IRF5
4,O14920,P21580,IKBKB,TNFAIP3
5,O14920,P21580,IKBKB,TNFAIP3
6,O14980,Q13546,XPO1,RIPK1
7,O14980,Q13546,XPO1,RIPK1
8,O15111,Q13546,CHUK,RIPK1
9,O15111,Q13568,CHUK,IRF5
10,O15169,P21580,AXIN1,TNFAIP3
11,O15455,Q13546,TLR3,RIPK1
12,O15455,Q13546,TLR3,RIPK1
13,O15455,Q13546,TLR3,RIPK1
14,O15455,Q13546,TLR3,RIPK1
15,O15519,Q13546,CFLAR,RIPK1
16,O15519,Q13546,CFLAR,RIPK1
17,O15519,Q13546,CFLAR,RIPK1
18,O15519,Q13546,CFLAR,RIPK1
19,O15519,Q13546,CFLAR,RIPK1
20,O43187,P21580,IRAK2,TNFAIP3
21,O43318,Q13546,MAP3K7,RIPK1
22,O43353,Q13546,RIPK2,RIPK1
23,O75376,Q13568,NCOR1,IRF5
24,O75460,Q13546,ERN1,RIPK1
25,O75604,Q13546,USP2,RIPK1
26,O75604,Q13546,USP2,RIPK1
27,O75604,Q13546,USP2,RIPK1
28,O94986,Q13568,CEP152,IRF5
29,O95352,Q13546,ATG7,RIPK1
30,O95714,Q13546,HERC2,RIPK1
31,P00533,Q13546,EGFR,RIPK1
32,P01375,P21580,TNF,TNFAIP3
33,P01375,P21580,TNF,TNFAIP3
34,P01375,P21580,TNF,TNFAIP3
35,P01375,P21580,TNF,TNFAIP3
36,P01375,P21580,TNF,TNFAIP3
37,P01375,P21580,TNF,TNFAIP3
38,P01375,P21580,TNF,TNFAIP3
39,P01375,P21580,TNF,TNFAIP3
40,P01375,P21580,TNF,TNFAIP3
41,P01375,P21580,TNF,TNFAIP3
42,P01375,Q13546,TNF,RIPK1
43,P01375,Q13546,TNF,RIPK1
44,P01375,Q13546,TNF,RIPK1
45,P01375,Q13546,TNF,RIPK1
46,P01375,Q13546,TNF,RIPK1
47,P01375,Q13546,TNF,RIPK1
48,P01375,Q13546,TNF,RIPK1
49,P01375,Q13546,TNF,RIPK1
50,P01375,Q13546,TNF,RIPK1
51,P01375,Q13546,TNF,RIPK1
52,P01375,Q13546,TNF,RIPK1
53,P01375,Q13546,TNF,RIPK1
54,P01375,Q13546,TNF,RIPK1
55,P01375,Q13546,TNF,RIPK1
56,P01375,Q13546,TNF,RIPK1
57,P01375,Q13546,TNF,RIPK1
58,P01375,Q13546,TNF,RIPK1
59,P01375,Q13546,TNF,RIPK1
60,P01375,Q13546,TNF,RIPK1
61,P01375,Q13546,TNF,RIPK1
62,P01375,Q13546,TNF,RIPK1
63,P01375,Q13546,TNF,RIPK1
64,P01375,Q13546,TNF,RIPK1
65,P01375,Q13546,TNF,RIPK1
66,P01375,Q13546,TNF,RIPK1
67,P01375,Q13546,TNF,RIPK1
68,P01375,Q13546,TNF,RIPK1
69,P01375,Q13546,TNF,RIPK1
70,P04083,Q13546,ANXA1,RIPK1
71,P04083,Q13546,ANXA1,RIPK1
72,P04637,P21580,TP53,TNFAIP3
73,P04637,P21580,TP53,TNFAIP3
74,P04899,P19878,GNAI2,NCF2
75,P05109,P19878,S100A8,NCF2
76,P06241,P16410,FYN,CTLA4
77,P06702,P19878,S100A9,NCF2
78,P07900,P21580,HSP90AA1,TNFAIP3
79,P07900,Q13546,HSP90AA1,RIPK1
80,P09923,Q13568,ALPI,IRF5
81,P0CG48,P21580,UBC,TNFAIP3
82,P0CG48,P21580,UBC,TNFAIP3
83,P0CG48,Q13546,UBC,RIPK1
84,P0CG48,Q13546,UBC,RIPK1
85,P14373,Q13546,TRIM27,RIPK1
86,P14598,P19878,NCF1,NCF2
87,P14598,P19878,NCF1,NCF2
88,P14598,P19878,NCF1,NCF2
89,P14598,P19878,NCF1,NCF2
90,P14598,P19878,NCF1,NCF2
91,P14598,P19878,NCF1,NCF2
92,P14598,P19878,NCF1,NCF2
93,P19438,P21580,TNFRSF1A,TNFAIP3
94,P19438,P21580,TNFRSF1A,TNFAIP3
95,P19438,P21580,TNFRSF1A,TNFAIP3
96,P19438,P21580,TNFRSF1A,TNFAIP3
97,P19438,P21580,TNFRSF1A,TNFAIP3
98,P19438,P21580,TNFRSF1A,TNFAIP3
99,P19438,Q13546,TNFRSF1A,RIPK1
100,P19438,Q13546,TNFRSF1A,RIPK1
101,P19438,Q13546,TNFRSF1A,RIPK1
102,P19438,Q13546,TNFRSF1A,RIPK1
103,P19438,Q13546,TNFRSF1A,RIPK1
104,P19438,Q13546,TNFRSF1A,RIPK1
105,P19438,Q13546,TNFRSF1A,RIPK1
106,P19438,Q13546,TNFRSF1A,RIPK1
107,P19438,Q13546,TNFRSF1A,RIPK1
108,P19438,Q13546,TNFRSF1A,RIPK1
109,P19438,Q13546,TNFRSF1A,RIPK1
110,P19438,Q13546,TNFRSF1A,RIPK1
111,P19438,Q13546,TNFRSF1A,RIPK1
112,P19438,Q13546,TNFRSF1A,RIPK1
113,P19438,Q13546,TNFRSF1A,RIPK1
114,P19438,Q13546,TNFRSF1A,RIPK1
115,P19438,Q13546,TNFRSF1A,RIPK1
116,P19438,Q13546,TNFRSF1A,RIPK1
117,P19438,Q13546,TNFRSF1A,RIPK1
118,P19438,Q13546,TNFRSF1A,RIPK1
119,P19438,Q13546,TNFRSF1A,RIPK1
120,P19438,Q13546,TNFRSF1A,RIPK1
121,P19438,Q13546,TNFRSF1A,RIPK1
122,P19438,Q13546,TNFRSF1A,RIPK1
123,P19438,Q13546,TNFRSF1A,RIPK1
124,P19438,Q13546,TNFRSF1A,RIPK1
125,P19438,Q13546,TNFRSF1A,RIPK1
126,P19438,Q13546,TNFRSF1A,RIPK1
127,P19438,Q13546,TNFRSF1A,RIPK1
128,P19438,Q13546,TNFRSF1A,RIPK1
129,P19438,Q13546,TNFRSF1A,RIPK1
130,P19438,Q13546,TNFRSF1A,RIPK1
131,P19438,Q13546,TNFRSF1A,RIPK1
132,P19438,Q13546,TNFRSF1A,RIPK1
133,P19438,Q13546,TNFRSF1A,RIPK1
134,P19438,Q13546,TNFRSF1A,RIPK1
135,P19438,Q13546,TNFRSF1A,RIPK1
136,P19438,Q13546,TNFRSF1A,RIPK1
137,P19438,Q13546,TNFRSF1A,RIPK1
138,P19438,Q13546,TNFRSF1A,RIPK1
139,P19438,Q13546,TNFRSF1A,RIPK1
140,P19438,Q13546,TNFRSF1A,RIPK1
141,P19438,Q13546,TNFRSF1A,RIPK1
142,P19438,Q13546,TNFRSF1A,RIPK1
143,P19438,Q13546,TNFRSF1A,RIPK1
144,P19438,Q13546,TNFRSF1A,RIPK1
145,P19438,Q13546,TNFRSF1A,RIPK1
146,P19438,Q13546,TNFRSF1A,RIPK1
147,P19438,Q13546,TNFRSF1A,RIPK1
148,P19438,Q13546,TNFRSF1A,RIPK1
149,P19438,Q13546,TNFRSF1A,RIPK1
150,P19438,Q13546,TNFRSF1A,RIPK1
151,P19438,Q13546,TNFRSF1A,RIPK1
152,P19438,Q13546,TNFRSF1A,RIPK1
153,P19438,Q13546,TNFRSF1A,RIPK1
154,P19438,Q13546,TNFRSF1A,RIPK1
155,P19438,Q13546,TNFRSF1A,RIPK1
156,P19438,Q13546,TNFRSF1A,RIPK1
157,P19438,Q13546,TNFRSF1A,RIPK1
158,P19438,Q13546,TNFRSF1A,RIPK1
159,P19438,Q13546,TNFRSF1A,RIPK1
160,P19438,Q13546,TNFRSF1A,RIPK1
161,P19438,Q13546,TNFRSF1A,RIPK1
162,P19438,Q13546,TNFRSF1A,RIPK1
163,P19474,Q13568,TRIM21,IRF5
164,P19474,Q13568,TRIM21,IRF5
165,P19474,Q13568,TRIM21,IRF5
166,P19474,Q13568,TRIM21,IRF5
167,P19838,P21580,NFKB1,TNFAIP3
168,P20333,Q13546,TNFRSF1B,RIPK1
169,P25445,Q13546,FAS,RIPK1
170,P50591,Q13546,TNFSF10,RIPK1
171,P58340,Q13546,MLF1,RIPK1
172,P58340,Q13546,MLF1,RIPK1
173,P61088,Q13546,UBE2N,RIPK1
174,P61088,Q13546,UBE2N,RIPK1
175,P78560,Q13546,CRADD,RIPK1
176,P98170,Q13546,XIAP,RIPK1
177,Q07666,Q13546,KHDRBS1,RIPK1
178,Q07666,Q13546,KHDRBS1,RIPK1
179,Q07666,Q13546,KHDRBS1,RIPK1
180,Q07666,Q13546,KHDRBS1,RIPK1
181,Q08830,Q13546,FGL1,RIPK1
182,Q09472,Q13568,EP300,IRF5
183,Q12933,Q13546,TRAF2,RIPK1
184,Q12933,Q13546,TRAF2,RIPK1
185,Q12933,Q13546,TRAF2,RIPK1
186,Q12933,Q13546,TRAF2,RIPK1
187,Q12933,Q13546,TRAF2,RIPK1
188,Q12933,Q13546,TRAF2,RIPK1
189,Q12933,Q13546,TRAF2,RIPK1
190,Q12933,Q13546,TRAF2,RIPK1
191,Q12933,Q13546,TRAF2,RIPK1
192,Q12933,Q13546,TRAF2,RIPK1
193,Q12933,Q13546,TRAF2,RIPK1
194,Q12933,Q13546,TRAF2,RIPK1
195,Q12933,Q13546,TRAF2,RIPK1
196,Q12933,Q13546,TRAF2,RIPK1
197,Q12933,Q13546,TRAF2,RIPK1
198,Q12933,Q13546,TRAF2,RIPK1
199,Q12933,Q13546,TRAF2,RIPK1
200,Q12933,Q13546,TRAF2,RIPK1
201,Q12933,Q13546,TRAF2,RIPK1
202,Q12933,Q13546,TRAF2,RIPK1
203,Q12933,Q13546,TRAF2,RIPK1
204,Q12933,Q13546,TRAF2,RIPK1
205,Q12933,Q13546,TRAF2,RIPK1
206,Q12933,Q13546,TRAF2,RIPK1
207,Q12933,Q13546,TRAF2,RIPK1
208,Q12933,Q13546,TRAF2,RIPK1
209,Q12933,Q13546,TRAF2,RIPK1
210,Q12933,Q13546,TRAF2,RIPK1
211,Q12933,Q13546,TRAF2,RIPK1
212,Q12933,Q13546,TRAF2,RIPK1
213,Q13077,Q13546,TRAF1,RIPK1
214,Q13077,Q13546,TRAF1,RIPK1
215,Q13077,Q13546,TRAF1,RIPK1
216,Q13107,Q13546,USP4,RIPK1
217,Q13107,Q13546,USP4,RIPK1
218,Q13114,Q13546,TRAF3,RIPK1
219,Q13158,Q13546,FADD,RIPK1
220,Q13158,Q13546,FADD,RIPK1
221,Q13158,Q13546,FADD,RIPK1
222,Q13158,Q13546,FADD,RIPK1
223,Q13158,Q13546,FADD,RIPK1
224,Q13158,Q13546,FADD,RIPK1
225,Q13158,Q13546,FADD,RIPK1
226,Q13158,Q13546,FADD,RIPK1
227,Q13158,Q13546,FADD,RIPK1
228,Q13158,Q13546,FADD,RIPK1
229,Q13158,Q13546,FADD,RIPK1
230,Q13158,Q13546,FADD,RIPK1
231,Q13158,Q13546,FADD,RIPK1
232,Q13158,Q13546,FADD,RIPK1
233,Q13158,Q13546,FADD,RIPK1
234,Q13158,Q13546,FADD,RIPK1
235,Q13158,Q13546,FADD,RIPK1
236,Q13158,Q13546,FADD,RIPK1
237,Q13158,Q13546,FADD,RIPK1
238,Q13158,Q13546,FADD,RIPK1
239,Q13158,Q13546,FADD,RIPK1
240,Q13158,Q13546,FADD,RIPK1
241,Q13489,Q13546,BIRC3,RIPK1
242,Q13489,Q13546,BIRC3,RIPK1
243,Q13489,Q13546,BIRC3,RIPK1
244,Q13489,Q13546,BIRC3,RIPK1
245,Q13489,Q13546,BIRC3,RIPK1
246,Q13489,Q13546,BIRC3,RIPK1
247,Q13489,Q13546,BIRC3,RIPK1
248,Q13490,Q13546,BIRC2,RIPK1
249,Q13490,Q13546,BIRC2,RIPK1
250,Q13490,Q13546,BIRC2,RIPK1
251,Q13490,Q13546,BIRC2,RIPK1
252,Q13490,Q13546,BIRC2,RIPK1
253,Q13490,Q13546,BIRC2,RIPK1
254,Q13490,Q13546,BIRC2,RIPK1
255,Q13490,Q13546,BIRC2,RIPK1
256,Q13490,Q13546,BIRC2,RIPK1
257,Q13501,Q13546,SQSTM1,RIPK1
258,Q13501,Q13546,SQSTM1,RIPK1
259,Q13501,Q13546,SQSTM1,RIPK1
260,Q13501,Q13546,SQSTM1,RIPK1
261,Q13547,Q13568,HDAC1,IRF5
0,P02741,P02751,CRP,FN1
1,P02741,P27361,CRP,MAPK3
2,P02741,Q13387,CRP,MAPK8IP2
3,P16410,P33681,CTLA4,CD80
4,P16410,P33681,CTLA4,CD80
5,P16410,P42081,CTLA4,CD86
6,P16410,P42229,CTLA4,STAT5A
7,P16410,P51692,CTLA4,STAT5B
8,P16410,Q15717,CTLA4,ELAVL1
9,P16410,Q96CW1,CTLA4,AP2M1
10,P19878,Q8IYJ3,NCF2,SYTL1
11,P19878,Q15080,NCF2,NCF4
12,P19878,Q15080,NCF2,NCF4
13,P19878,Q15080,NCF2,NCF4
14,P19878,P30041,NCF2,PRDX6
15,P19878,P63096,NCF2,GNAI1
16,P19878,Q92845,NCF2,KIFAP3
17,P19878,P78527,NCF2,PRKDC
18,P19878,Q08379,NCF2,GOLGA2
19,P19878,Q13148,NCF2,TARDBP
20,P19878,P47712,NCF2,PLA2G4A
21,P19878,P47712,NCF2,PLA2G4A
22,P21580,P50591,TNFAIP3,TNFSF10
23,P21580,Q9Y4K3,TNFAIP3,TRAF6
24,P21580,Q9Y4K3,TNFAIP3,TRAF6
25,P21580,Q9Y4K3,TNFAIP3,TRAF6
26,P21580,Q9Y4K3,TNFAIP3,TRAF6
27,P21580,Q9Y4K3,TNFAIP3,TRAF6
28,P21580,Q9Y4K3,TNFAIP3,TRAF6
29,P21580,Q9Y4K3,TNFAIP3,TRAF6
30,P21580,Q9Y4K3,TNFAIP3,TRAF6
31,P21580,Q9Y4K3,TNFAIP3,TRAF6
32,P21580,Q9Y4K3,TNFAIP3,TRAF6
33,P21580,Q9Y4K3,TNFAIP3,TRAF6
34,P21580,Q9Y4K3,TNFAIP3,TRAF6
35,P21580,Q99683,TNFAIP3,MAP3K5
36,P21580,Q14164,TNFAIP3,IKBKE
37,P21580,Q14164,TNFAIP3,IKBKE
38,P21580,Q9H0F6,TNFAIP3,SHARPIN
39,P21580,Q14790,TNFAIP3,CASP8
40,P21580,Q14790,TNFAIP3,CASP8
41,P21580,Q8NFZ5,TNFAIP3,TNIP2
42,P21580,Q13077,TNFAIP3,TRAF1
43,P21580,Q13077,TNFAIP3,TRAF1
44,P21580,Q13077,TNFAIP3,TRAF1
45,P21580,Q96EP0,TNFAIP3,RNF31
46,P21580,Q13158,TNFAIP3,FADD
47,P21580,Q13158,TNFAIP3,FADD
48,P21580,Q13158,TNFAIP3,FADD
49,P21580,Q13158,TNFAIP3,FADD
50,P21580,Q8IVM0,TNFAIP3,CCDC50
51,P21580,Q15717,TNFAIP3,ELAVL1
52,P21580,Q14457,TNFAIP3,BECN1
53,P21580,P51617,TNFAIP3,IRAK1
54,P21580,P51617,TNFAIP3,IRAK1
55,P21580,Q9UL19,TNFAIP3,RARRES3
56,P21580,Q9UDY8,TNFAIP3,MALT1
57,P21580,P36406,TNFAIP3,TRIM23
58,P21580,Q9Y508,TNFAIP3,RNF114
59,P21580,Q9UBU9,TNFAIP3,NXF1
60,P21580,Q8IUC6,TNFAIP3,TICAM1
61,P21580,Q9HC29,TNFAIP3,NOD2
62,P21580,Q9Y6K9,TNFAIP3,IKBKG
63,P21580,Q9Y6K9,TNFAIP3,IKBKG
64,P21580,Q9Y6K9,TNFAIP3,IKBKG
65,P21580,Q9Y6K9,TNFAIP3,IKBKG
66,P21580,Q9Y6K9,TNFAIP3,IKBKG
67,P21580,Q9Y6K9,TNFAIP3,IKBKG
68,P21580,Q9Y6K9,TNFAIP3,IKBKG
69,P21580,Q9Y6K9,TNFAIP3,IKBKG
70,P21580,Q9Y6K9,TNFAIP3,IKBKG
71,P21580,Q9Y6K9,TNFAIP3,IKBKG
72,P21580,Q9Y6K9,TNFAIP3,IKBKG
73,P21580,Q9Y6K9,TNFAIP3,IKBKG
74,P21580,P63104,TNFAIP3,YWHAZ
75,P21580,Q9UHD2,TNFAIP3,TBK1
76,P21580,P61981,TNFAIP3,YWHAG
77,P21580,Q9Y3C5,TNFAIP3,RNF11
78,P21580,Q9Y3C5,TNFAIP3,RNF11
79,P21580,Q9Y3C5,TNFAIP3,RNF11
80,P21580,Q9Y3C5,TNFAIP3,RNF11
81,P21580,Q9Y3C5,TNFAIP3,RNF11
82,P21580,Q9Y3C5,TNFAIP3,RNF11
83,P21580,Q13571,TNFAIP3,LAPTM5
84,P21580,Q13571,TNFAIP3,LAPTM5
85,P21580,Q13571,TNFAIP3,LAPTM5
86,P21580,Q13571,TNFAIP3,LAPTM5
87,P21580,Q14161,TNFAIP3,GIT2
88,P21580,Q92985,TNFAIP3,IRF7
89,P21580,Q86VP1,TNFAIP3,TAX1BP1
90,P21580,Q86VP1,TNFAIP3,TAX1BP1
91,P21580,Q13490,TNFAIP3,BIRC2
92,Q13546,Q8IUC6,RIPK1,TICAM1
93,Q13546,Q8IUC6,RIPK1,TICAM1
94,Q13546,Q99558,RIPK1,MAP3K14
95,Q13546,Q9BYM8,RIPK1,RBCK1
96,Q13546,Q8NB16,RIPK1,MLKL
97,Q13546,Q14790,RIPK1,CASP8
98,Q13546,Q14790,RIPK1,CASP8
99,Q13546,Q14790,RIPK1,CASP8
100,Q13546,Q14790,RIPK1,CASP8
101,Q13546,Q14790,RIPK1,CASP8
102,Q13546,Q14790,RIPK1,CASP8
103,Q13546,Q14790,RIPK1,CASP8
104,Q13546,Q14790,RIPK1,CASP8
105,Q13546,Q14790,RIPK1,CASP8
106,Q13546,Q14790,RIPK1,CASP8
107,Q13546,Q14790,RIPK1,CASP8
108,Q13546,Q14790,RIPK1,CASP8
109,Q13546,Q14790,RIPK1,CASP8
110,Q13546,Q14790,RIPK1,CASP8
111,Q13546,Q14790,RIPK1,CASP8
112,Q13546,Q14790,RIPK1,CASP8
113,Q13546,Q14790,RIPK1,CASP8
114,Q13546,Q14790,RIPK1,CASP8
115,Q13546,Q14790,RIPK1,CASP8
116,Q13546,Q14790,RIPK1,CASP8
117,Q13546,Q14790,RIPK1,CASP8
118,Q13546,Q96CV9,RIPK1,OPTN
119,Q13546,Q96CV9,RIPK1,OPTN
120,Q13546,Q96CV9,RIPK1,OPTN
121,Q13546,Q96CV9,RIPK1,OPTN
122,Q13546,Q96CV9,RIPK1,OPTN
123,Q13546,Q9H6Z9,RIPK1,EGLN3
124,Q13546,Q9H6Z9,RIPK1,EGLN3
125,Q13546,Q96FA3,RIPK1,PELI1
126,Q13546,Q96SL4,RIPK1,GPX7
127,Q13546,Q6ZMP0,RIPK1,THSD4
128,Q13546,Q9Y572,RIPK1,RIPK3
129,Q13546,Q9Y572,RIPK1,RIPK3
130,Q13546,Q9Y572,RIPK1,RIPK3
131,Q13546,Q9Y572,RIPK1,RIPK3
132,Q13546,Q9Y572,RIPK1,RIPK3
133,Q13546,Q9Y572,RIPK1,RIPK3
134,Q13546,Q9Y572,RIPK1,RIPK3
135,Q13546,Q9HC29,RIPK1,NOD2
136,Q13546,Q15628,RIPK1,TRADD
137,Q13546,Q15628,RIPK1,TRADD
138,Q13546,Q15628,RIPK1,TRADD
139,Q13546,Q15628,RIPK1,TRADD
140,Q13546,Q15628,RIPK1,TRADD
141,Q13546,Q9Y6R0,RIPK1,NUMBL
142,Q13546,Q5VVQ6,RIPK1,YOD1
143,Q13546,Q9NYJ8,RIPK1,TAB2
144,Q13546,Q9NYJ8,RIPK1,TAB2
145,Q13546,Q9NYJ8,RIPK1,TAB2
146,Q13546,Q9NYJ8,RIPK1,TAB2
147,Q13546,Q5VV17,RIPK1,OTUD1
148,Q13546,Q9Y6K9,RIPK1,IKBKG
149,Q13546,Q9Y6K9,RIPK1,IKBKG
150,Q13546,Q9Y6K9,RIPK1,IKBKG
151,Q13546,Q9Y6K9,RIPK1,IKBKG
152,Q13546,Q9Y6K9,RIPK1,IKBKG
153,Q13546,Q9Y6K9,RIPK1,IKBKG
154,Q13546,Q9Y6K9,RIPK1,IKBKG
155,Q13546,Q9Y6K9,RIPK1,IKBKG
156,Q13546,Q9Y6K9,RIPK1,IKBKG
157,Q13546,Q9Y6K9,RIPK1,IKBKG
158,Q13546,Q9Y6K9,RIPK1,IKBKG
159,Q13546,Q9Y6K9,RIPK1,IKBKG
160,Q13546,Q9Y6K9,RIPK1,IKBKG
161,Q13546,Q9Y6K9,RIPK1,IKBKG
162,Q13546,Q9Y6K9,RIPK1,IKBKG
163,Q13546,Q9Y6K9,RIPK1,IKBKG
164,Q13546,Q9Y6K9,RIPK1,IKBKG
165,Q13546,Q9Y6K9,RIPK1,IKBKG
166,Q13546,Q9Y6K9,RIPK1,IKBKG
167,Q13546,Q9Y6K9,RIPK1,IKBKG
168,Q13546,Q9Y6K9,RIPK1,IKBKG
169,Q13546,Q9Y6K9,RIPK1,IKBKG
170,Q13546,Q9Y6K9,RIPK1,IKBKG
171,Q13546,Q9Y6K9,RIPK1,IKBKG
172,Q13546,Q9Y6K9,RIPK1,IKBKG
173,Q13546,Q9Y6K9,RIPK1,IKBKG
174,Q13546,Q9Y6K9,RIPK1,IKBKG
175,Q13546,Q9Y6K9,RIPK1,IKBKG
176,Q13546,Q9Y6K9,RIPK1,IKBKG
177,Q13546,Q9Y6K9,RIPK1,IKBKG
178,Q13546,Q9Y6K9,RIPK1,IKBKG
179,Q13546,Q9Y6K9,RIPK1,IKBKG
180,Q13546,Q9Y6K9,RIPK1,IKBKG
181,Q13546,Q9Y6K9,RIPK1,IKBKG
182,Q13546,Q9Y6K9,RIPK1,IKBKG
183,Q13546,Q9Y6K9,RIPK1,IKBKG
184,Q13546,Q9NWF9,RIPK1,RNF216
185,Q13546,Q9NWF9,RIPK1,RNF216
186,Q13546,Q9NWF9,RIPK1,RNF216
187,Q13546,Q9ULZ3,RIPK1,PYCARD
188,Q13546,Q96J02,RIPK1,ITCH
189,Q13546,Q8TEL6,RIPK1,TRPC4AP
190,Q13546,Q92851,RIPK1,CASP10
191,Q13546,Q96EP0,RIPK1,RNF31
192,Q13546,Q9HB75,RIPK1,PIDD1
193,Q13546,Q8WZ73,RIPK1,RFFL
194,Q13546,Q8WZ73,RIPK1,RFFL
195,Q13546,Q93038,RIPK1,TNFRSF25
196,Q13546,Q9Y6Q5,RIPK1,AP1M2
197,Q13546,Q9UK80,RIPK1,USP21
198,Q13546,Q96AB6,RIPK1,NTAN1
199,Q13546,Q96AB6,RIPK1,NTAN1
200,Q13546,Q8IVM0,RIPK1,CCDC50
201,Q13546,Q9Y3C5,RIPK1,RNF11
202,Q13546,Q9Y3C5,RIPK1,RNF11
203,Q13546,Q9NQC7,RIPK1,CYLD
204,Q13546,Q9NQC7,RIPK1,CYLD
205,Q13546,Q9NQC7,RIPK1,CYLD
206,Q13546,Q9NQC7,RIPK1,CYLD
207,Q13546,Q99759,RIPK1,MAP3K3
208,Q13546,Q5S007,RIPK1,LRRK2
209,Q13568,Q14653,IRF5,IRF3
210,Q13568,Q9Y618,IRF5,NCOR2
211,Q13568,Q96ST3,IRF5,SIN3A
212,Q13568,Q92831,IRF5,KAT2B
213,Q13568,Q99836,IRF5,MYD88
214,Q13568,Q99836,IRF5,MYD88
215,Q13568,Q92793,IRF5,CREBBP
216,Q13568,Q9Y4K3,IRF5,TRAF6
217,Q13568,Q9Y4K3,IRF5,TRAF6
